CBSA,Days with AQI,Good Days,City,score
"Columbia, MO",36,33,Columbia,8
"Somerset, PA",150,142,Somerset,8
"Corning, NY",183,166,Corning,8
"Burlington-South Burlington, VT",92,83,Burlington-South Burlington,8
"Worcester, MA-CT",183,167,Worcester,8
"Tyler, TX",120,113,Tyler,8
"Alexandria, LA",31,29,Alexandria,8
"Idaho Falls, ID",152,138,Idaho Falls,8
"Dickinson, ND",182,169,Dickinson,8
"Monroe, LA",182,169,Monroe,8
"Scottsbluff, NE",197,181,Scottsbluff,8
"Santa Maria-Santa Barbara, CA",92,84,Santa Maria-Santa Barbara,8
"Quincy, IL-MO",116,103,Quincy,7
"Providence-Warwick, RI-MA",182,155,Providence-Warwick,7
"Joplin, MO",89,76,Joplin,7
"Greenville, NC",121,105,Greenville,7
"Albany, OR",91,79,Albany,7
"Atlantic City-Hammonton, NJ",91,80,Atlantic City-Hammonton,7
"Duluth, MN-WI",152,134,Duluth,7
"Port Angeles, WA",121,106,Port Angeles,7
"Bowling Green, KY",152,131,Bowling Green,7
"Lynchburg, VA",59,51,Lynchburg,7
"Cleveland, MS",91,80,Cleveland,7
"Cookeville, TN",86,74,Cookeville,7
"Vineland-Bridgeton, NJ",90,79,Vineland-Bridgeton,7
"Pittsfield, MA",182,155,Pittsfield,7
"Clarksburg, WV",27,24,Clarksburg,7
"State College, PA",152,131,State College,7
"Palm Bay-Melbourne-Titusville, FL",91,81,Palm Bay-Melbourne-Titusville,7
"Charleston, WV",92,81,Charleston,7
"Topeka, KS",91,79,Topeka,7
"Oxnard-Thousand Oaks-Ventura, CA",121,105,Oxnard-Thousand Oaks-Ventura,7
"Oxford, NC",61,52,Oxford,7
"Cape Coral-Fort Myers, FL",182,161,Cape Coral-Fort Myers,7
"Pueblo, CO",152,136,Pueblo,7
"Kennewick-Richland, WA",121,105,Kennewick-Richland,7
"Cambridge, MD",177,159,Cambridge,7
"Blacksburg-Christiansburg-Radford, VA",143,128,Blacksburg-Christiansburg-Radford,7
"Erie, PA",153,134,Erie,7
"Marietta, OH",122,109,Marietta,7
"Ellensburg, WA",121,106,Ellensburg,7
"Daphne-Fairhope-Foley, AL",111,98,Daphne-Fairhope-Foley,7
"Birmingham-Hoover, AL",53,46,Birmingham-Hoover,7
"Tuscaloosa, AL",120,103,Tuscaloosa,7
"Sioux Falls, SD",92,82,Sioux Falls,7
"Cadillac, MI",152,135,Cadillac,7
"Gillette, WY",176,157,Gillette,7
"Crescent City, CA",38,34,Crescent City,7
"Gainesville, FL",91,80,Gainesville,7
"Morgantown, WV",48,43,Morgantown,7
"Augusta-Waterville, ME",213,176,Augusta-Waterville,6
"Allentown-Bethlehem-Easton, PA-NJ",152,123,Allentown-Bethlehem-Easton,6
"Wichita, KS",91,73,Wichita,6
"Wilmington, NC",121,98,Wilmington,6
"Michigan City-La Porte, IN",182,150,Michigan City-La Porte,6
"Marshall, MN",90,76,Marshall,6
"Mount Vernon, OH",122,101,Mount Vernon,6
"Klamath Falls, OR",91,75,Klamath Falls,6
"Lexington-Fayette, KY",96,80,Lexington-Fayette,6
"Jackson, TN",87,73,Jackson,6
"Odessa, TX",119,98,Odessa,6
"Watertown, SD",91,74,Watertown,6
"Ashtabula, OH",122,99,Ashtabula,6
"Wausau, WI",91,76,Wausau,6
"Albany-Schenectady-Troy, NY",182,154,Albany-Schenectady-Troy,6
"Johnstown, PA",153,125,Johnstown,6
"Kalispell, MT",152,128,Kalispell,6
"Williamsport, PA",144,119,Williamsport,6
"The Dalles, OR",89,74,The Dalles,6
"Paducah, KY-IL",91,74,Paducah,6
"Brainerd, MN",90,73,Brainerd,6
"Fayetteville-Springdale-Rogers, AR-MO",182,150,Fayetteville-Springdale-Rogers,6
"Baraboo, WI",91,76,Baraboo,6
"Boulder, CO",152,123,Boulder,6
"Salisbury, MD-DE",91,76,Salisbury,6
"Elizabethtown-Fort Knox, KY",96,80,Elizabethtown-Fort Knox,6
"San Jose-Sunnyvale-Santa Clara, CA",151,125,San Jose-Sunnyvale-Santa Clara,6
"Dyersburg, TN",83,69,Dyersburg,6
"Sayre, PA",145,122,Sayre,6
"Rochester, MN",90,73,Rochester,6
"Bridgeport-Stamford-Norwalk, CT",91,74,Bridgeport-Stamford-Norwalk,6
"Sebring, FL",181,151,Sebring,6
"Deltona-Daytona Beach-Ormond Beach, FL",91,74,Deltona-Daytona Beach-Ormond Beach,6
"Brunswick, GA",176,143,Brunswick,6
"Colorado Springs, CO",159,128,Colorado Springs,6
"Springfield, MA",182,146,Springfield,6
"Trenton, NJ",150,120,Trenton,6
"Bismarck, ND",183,147,Bismarck,6
"Fairmont, WV",27,22,Fairmont,6
"Grand Junction, CO",185,151,Grand Junction,6
"Raleigh, NC",183,154,Raleigh,6
"Portland-Vancouver-Hillsboro, OR-WA",121,102,Portland-Vancouver-Hillsboro,6
"Prineville, OR",91,75,Prineville,6
"Greenfield Town, MA",181,150,Greenfield Town,6
"Hartford-West Hartford-East Hartford, CT",92,76,Hartford-West Hartford-East Hartford,6
